date,Appliances
2016-04-28 21:00:00,80
2016-04-28 21:10:00,50
2016-04-28 21:20:00,50
2016-04-28 21:30:00,50
2016-04-28 21:40:00,40
2016-04-28 21:50:00,60
2016-04-28 22:00:00,60
2016-04-28 22:10:00,50
2016-04-28 22:20:00,60
2016-04-28 22:30:00,50
2016-04-28 22:40:00,40
2016-04-28 22:50:00,50
2016-04-28 23:00:00,50
2016-04-28 23:10:00,60
2016-04-28 23:20:00,60
2016-04-28 23:30:00,50
2016-04-28 23:40:00,50
2016-04-28 23:50:00,40
2016-04-29 00:00:00,30
2016-04-29 00:10:00,20
2016-04-29 00:20:00,40
2016-04-29 00:30:00,50
2016-04-29 00:40:00,50
2016-04-29 00:50:00,60
2016-04-29 01:00:00,50
2016-04-29 01:10:00,70
2016-04-29 01:20:00,50
2016-04-29 01:30:00,50
2016-04-29 01:40:00,50
2016-04-29 01:50:00,50
2016-04-29 02:00:00,50
2016-04-29 02:10:00,50
2016-04-29 02:20:00,50
2016-04-29 02:30:00,60
2016-04-29 02:40:00,50
2016-04-29 02:50:00,60
2016-04-29 03:00:00,50
2016-04-29 03:10:00,50
2016-04-29 03:20:00,50
2016-04-29 03:30:00,40
2016-04-29 03:40:00,40
2016-04-29 03:50:00,30
2016-04-29 04:00:00,40
2016-04-29 04:10:00,40
2016-04-29 04:20:00,50
2016-04-29 04:30:00,50
2016-04-29 04:40:00,50
2016-04-29 04:50:00,50
2016-04-29 05:00:00,50
2016-04-29 05:10:00,50
2016-04-29 05:20:00,50
2016-04-29 05:30:00,60
2016-04-29 05:40:00,50
2016-04-29 05:50:00,60
2016-04-29 06:00:00,60
2016-04-29 06:10:00,70
2016-04-29 06:20:00,100
2016-04-29 06:30:00,60
2016-04-29 06:40:00,60
2016-04-29 06:50:00,130
2016-04-29 07:00:00,470
2016-04-29 07:10:00,290
2016-04-29 07:20:00,250
2016-04-29 07:30:00,250
2016-04-29 07:40:00,400
2016-04-29 07:50:00,510
2016-04-29 08:00:00,260
2016-04-29 08:10:00,80
2016-04-29 08:20:00,100
2016-04-29 08:30:00,70
2016-04-29 08:40:00,90
2016-04-29 08:50:00,60
2016-04-29 09:00:00,70
2016-04-29 09:10:00,50
2016-04-29 09:20:00,40
2016-04-29 09:30:00,50
2016-04-29 09:40:00,60
2016-04-29 09:50:00,60
2016-04-29 10:00:00,60
2016-04-29 10:10:00,50
2016-04-29 10:20:00,50
2016-04-29 10:30:00,20
2016-04-29 10:40:00,30
2016-04-29 10:50:00,20
2016-04-29 11:00:00,40
2016-04-29 11:10:00,70
2016-04-29 11:20:00,60
2016-04-29 11:30:00,300
2016-04-29 11:40:00,780
2016-04-29 11:50:00,470
2016-04-29 12:00:00,270
2016-04-29 12:10:00,240
2016-04-29 12:20:00,260
2016-04-29 12:30:00,220
2016-04-29 12:40:00,110
2016-04-29 12:50:00,80
2016-04-29 13:00:00,50
2016-04-29 13:10:00,60
2016-04-29 13:20:00,50
2016-04-29 13:30:00,280
2016-04-29 13:40:00,380
2016-04-29 13:50:00,280
2016-04-29 14:00:00,260
2016-04-29 14:10:00,250
2016-04-29 14:20:00,220
2016-04-29 14:30:00,220
2016-04-29 14:40:00,190
2016-04-29 14:50:00,70
2016-04-29 15:00:00,50
2016-04-29 15:10:00,50
2016-04-29 15:20:00,60
2016-04-29 15:30:00,60
2016-04-29 15:40:00,50
2016-04-29 15:50:00,60
2016-04-29 16:00:00,60
2016-04-29 16:10:00,70
2016-04-29 16:20:00,80
2016-04-29 16:30:00,90
2016-04-29 16:40:00,70
2016-04-29 16:50:00,100
2016-04-29 17:00:00,140
2016-04-29 17:10:00,90
2016-04-29 17:20:00,80
2016-04-29 17:30:00,80
2016-04-29 17:40:00,330
2016-04-29 17:50:00,410
2016-04-29 18:00:00,330
2016-04-29 18:10:00,100
2016-04-29 18:20:00,120
2016-04-29 18:30:00,130
2016-04-29 18:40:00,130
2016-04-29 18:50:00,120
2016-04-29 19:00:00,110
2016-04-29 19:10:00,100
2016-04-29 19:20:00,150
2016-04-29 19:30:00,130
2016-04-29 19:40:00,100
2016-04-29 19:50:00,100
2016-04-29 20:00:00,120
2016-04-29 20:10:00,100
2016-04-29 20:20:00,120
2016-04-29 20:30:00,100
2016-04-29 20:40:00,110
2016-04-29 20:50:00,100
2016-04-29 21:00:00,80
2016-04-29 21:10:00,80
2016-04-29 21:20:00,60
2016-04-29 21:30:00,60
2016-04-29 21:40:00,60
2016-04-29 21:50:00,60
2016-04-29 22:00:00,60
2016-04-29 22:10:00,50
2016-04-29 22:20:00,50
2016-04-29 22:30:00,50
2016-04-29 22:40:00,40
2016-04-29 22:50:00,50
2016-04-29 23:00:00,60
2016-04-29 23:10:00,60
2016-04-29 23:20:00,50
2016-04-29 23:30:00,60
2016-04-29 23:40:00,40
2016-04-29 23:50:00,60
